CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
886364231,GRNY,TIDAL TRUST I,27045,27045,646K,646K,NEW,0.03%
33737A108,GRID,FIRST TR NASDQ CLN EDGE,6322,3911,1.03M,639.67K,+162.2%,0.04%
931142103,WMT,WAL-MART STORES INC,3344,3344,416K,416K,NEW,0.02%
494368103,KMB,KIMBERLY CLARK CORP,6293,3996,607K,385.44K,+174%,0.02%
594918104,MSFT,MICROSOFT CORP,56358,1038,20.86M,384.24K,+1.9%,0.85%
22160K105,COST,COSTCO WHSL CORP NEW,1349,353,1.34M,351.69K,+35.4%,0.05%
47103U746,JSI,JANUS DETROIT STR TR,441365,6741,22.75M,347.49K,+1.6%,0.93%
025072604,AVEM,AMERICAN CENTY ETF TR,3567,3567,287K,287K,NEW,0.01%
05613H704,BKMI,BNY MELLON ETF TRUST II,10775,10775,281K,281K,NEW,0.01%
97717W521,OPPJ,WISDOMTREE TR,5030,5030,273K,273K,NEW,0.01%
464287796,IYE,ISHARES TR U.S. ENERGY,4110,4110,266K,266K,NEW,0.01%
81369Y100,XLB,SELECT SECTOR SPDR TR SBI MATERIALS,12203,4937,610K,246.79K,+67.9%,0.02%
88262P102,TPL,TEXAS PACIFIC LAND CORPORATI,500,500,237K,237K,NEW,<.01%
Y1968P121,DAC,DANAOS CORPORATION,1914,1914,216K,216K,NEW,<.01%
91913Y100,VLO,VALERO ENERGY CORP NEW,865,865,214K,214K,NEW,<.01%
832248207,SFD,SMITHFIELD FOODS INC,7597,7597,212K,212K,NEW,<.01%
33738D101,EMLP,FIRST TR EXCHANGE-TRADED FD,4795,4795,209K,209K,NEW,<.01%
G29183103,ETN,EATON CORP PLC,579,579,207K,207K,NEW,<.01%
14448C104,CARR,CARRIER GLOBAL CORPORATION,3603,3603,203K,203K,NEW,<.01%
05613H803,BMOP,BNY MELLON ETF TRUST II,8185,8185,202K,202K,NEW,<.01%
26923G806,UTES,ETFIS SER TR I,2531,2531,202K,202K,NEW,<.01%
78454L100,SM,SM ENERGY CO,6437,6437,201K,201K,NEW,<.01%
988498101,YUM,YUM BRANDS INC,1295,1295,201K,201K,NEW,<.01%
46090F100,PDBC,INVESCO ACTVELY MNGD ETC FD,10488,10488,182K,182K,NEW,<.01%
832696405,SJM,SMUCKER J M CO,10115,1405,976K,135.57K,+16.1%,0.04%
G8588X103,SGHC,SUPER GROUP SGHC LIMITED,12068,12068,130K,130K,NEW,<.01%
921943858,VEA,VANGUARD TAX-MANAGED INTL FD FTSE DEV MKT,6797,1938,436K,124.31K,+39.9%,0.02%
37954Y871,URA,GLOBAL X FDS,7433,2544,360K,123.21K,+52%,0.01%
N20944109,CNH,CNH INDL N V,10142,10142,112K,112K,NEW,<.01%
125523100,CI,CIGNA CORP NEW,15033,404,4.01M,107.77K,+2.8%,0.16%
700517105,PK,PARK HOTELS RESORTS INC,10085,10085,106K,106K,NEW,<.01%
11135F101,AVGO,BROADCOM INC,15493,329,4.79M,101.82K,+2.2%,0.2%
30303M102,META,FACEBOOK INC,3473,167,1.99M,95.55K,+5.1%,0.08%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,58098,376,14.08M,91.14K,+0.7%,0.57%
46429B697,USMV,ISHARES TR USA MIN VOL,3208,968,298K,89.92K,+43.2%,0.01%
92826C839,V,VISA INC COM,2256,273,682K,82.53K,+13.8%,0.03%
038923108,ABR,ARBOR REALTY TRUST INC,10663,10663,82K,82K,NEW,<.01%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,5885,169,2.82M,80.98K,+3%,0.12%
46138G649,QQQM,INVESCO EXCH TRADED FD TR II,3778,334,898K,79.39K,+9.7%,0.04%
46625H100,JPM,JPMORGAN CHASE & CO,13184,252,3.88M,74.12K,+1.9%,0.16%
17275R102,CSCO,CISCO SYS INC,86806,953,6.74M,73.94K,+1.1%,0.27%
166764100,CVX,CHEVRON CORP NEW,3139,353,650K,73.1K,+12.7%,0.03%
020002101,ALL,ALLSTATE CORP,2389,344,495K,71.28K,+16.8%,0.02%
50155Q100,KD,KYNDRYL HLDGS INC COMMON,37248,5237,489K,68.75K,+16.4%,0.02%
78463V107,GLD,SPDR GOLD TR GOLD,56646,146,24.37M,62.82K,+0.3%,1%
128030202,CALM,CAL MAINE FOODS INC,3437,695,272K,55K,+25.3%,0.01%
98149E303,GLDM,WORLD GOLD TR,4963,585,460K,54.22K,+13.4%,0.02%
375558103,GILD,GILEAD SCIENCES INC,6832,321,952K,44.73K,+4.9%,0.04%
464287200,IVV,ISHARES TR CORE S&P500,3101,65,2.03M,42.47K,+2.1%,0.08%
00847G705,AGEN,AGENUS INC,12000,12000,40K,40K,NEW,<.01%
26614N102,DD,DUPONT DE NEMOURS INC,21923,872,1M,39.93K,+4.1%,0.04%
64828T201,RITM,NEW RESIDENTIAL INVT CORP,18351,4111,174K,38.98K,+28.9%,<.01%
83088M102,SWKS,SKYWORKS SOLUTIONS INC,22116,720,1.18M,38.55K,+3.4%,0.05%
053015103,ADP,AUTOMATIC DATA PROCESSING IN,1798,184,365K,37.35K,+11.4%,0.01%
00206R102,T,AT&T INC,13298,1232,386K,35.76K,+10.2%,0.02%
74168J101,PRME,PRIME MEDICINE INC,750001,10000,2.61M,34.8K,+1.4%,0.11%
13321L108,CCJ,CAMECO CORP,237364,316,25.78M,34.32K,+0.1%,1.1%
060505104,BAC,BANK AMER CORP,29627,690,1.44M,33.63K,+2.4%,0.06%
922042742,VT,VANGUARD INTL EQUITY INDEX F TT WRLD ST,4525,240,626K,33.2K,+5.6%,0.03%
22052L104,CTVA,CORTEVA INC,31907,386,2.67M,32.31K,+1.2%,0.11%
459506101,IFF,INTERNATIONAL FLAVORS&FRAGRA,15328,444,1.11M,32.21K,+3%,0.05%
464287507,IJH,ISHARES TR CORE S&P MCP,20575,475,1.39M,32.07K,+2.4%,0.06%
G1151C101,ACN,ACCENTURE PLC IRELAND SHS,1728,158,343K,31.36K,+10.1%,0.01%
97717X552,OPPE,WISDOMTREE TR,5971,580,321K,31.18K,+10.8%,0.01%
57667L107,MTCH,MATCH GROUP INC NEW,21692,1003,666K,30.79K,+4.8%,0.03%
46429B689,EFAV,ISHARES TR,6076,326,555K,29.78K,+5.7%,0.02%
194162103,CL,COLGATE PALMOLIVE CO,5413,344,461K,29.3K,+6.8%,0.02%
532457108,LLY,LILLY ELI & CO,2840,30,2.61M,27.59K,+1.1%,0.11%
958102105,WDC,WESTERN DIGITAL CORP,39632,100,10.72M,27.05K,+0.3%,0.44%
580135101,MCD,MCDONALDS CORP,2898,81,901K,25.18K,+2.9%,0.04%
46641Q837,JPST,J P MORGAN EXCHANGE-TRADED F ULTRA SHRT,67212,469,3.4M,23.74K,+0.7%,0.14%
478160104,JNJ,JOHNSON & JOHNSON,4509,93,1.1M,22.73K,+2.1%,0.04%
11275Q107,BIPC,BROOKFIELD INFRASTRUCTURE CO COM SB VTG,5748,557,227K,22K,+10.7%,<.01%
36828A101,GEV,GE VERNOVA INC,1088,24,949K,20.93K,+2.3%,0.04%
