CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
744573106,PEG,PUBLIC SVC ENTERPRISE GROUP,1403,1403,113.57K,113.57K,NEW,<.01%
G75398100,RZLV,REZOLVE AI PLC,44349,44349,113.53K,113.53K,NEW,<.01%
G0750C108,AXTA,AXALTA COATING SYS LTD,4098,4098,113.52K,113.52K,NEW,<.01%
929236107,WDFC,WD 40 CO,556,556,113.39K,113.39K,NEW,<.01%
02081G201,ATEC,ALPHATEC HLDGS INC,10384,10384,112.98K,112.98K,NEW,<.01%
N90064101,QURE,UNIQURE NV,14435,6778,236.01K,110.82K,+88.5%,<.01%
73278L105,POOL,POOL CORP,688,542,139.2K,109.66K,+371.2%,<.01%
98980F104,GTM,ZOOMINFO TECHNOLOGIES INC,17999,17999,107.63K,107.63K,NEW,<.01%
68390D106,OR,OR ROYALTIES INC.,19809,2786,753.14K,105.92K,+16.4%,0.02%
24477V105,DFTX,DEFINIUM THERAPEUTICS INC,5414,5414,102.33K,102.33K,NEW,<.01%
35953D401,FUBO,FUBOTV INC,10385,10385,98.24K,98.24K,NEW,<.01%
440452100,HRL,HORMEL FOODS CORP,4290,4290,97.17K,97.17K,NEW,<.01%
450056106,IRTC,IRHYTHM HOLDINGS INC,821,821,96.89K,96.89K,NEW,<.01%
934423104,WBD,WARNER BROS DISCOVERY INC,3500,3500,96.11K,96.11K,NEW,<.01%
G76279101,ROIV,ROIVANT SCIENCES LTD,3420,3420,94.73K,94.73K,NEW,<.01%
03820C105,AIT,APPLIED INDL TECHNOLOGIES IN,357,357,94.72K,94.72K,NEW,<.01%
706915105,PENG,PENGUIN SOLUTIONS INC,5229,5229,92.03K,92.03K,NEW,<.01%
52110M109,LAZ,LAZARD INC,2157,2157,91.63K,91.63K,NEW,<.01%
651229106,NWL,NEWELL BRANDS INC,26069,26069,89.42K,89.42K,NEW,<.01%
G3934V109,GENI,GENIUS SPORTS LIMITED,22567,19577,99.97K,86.73K,+654.7%,<.01%
919794107,VLY,VALLEY NATL BANCORP,10258,6994,125.97K,85.89K,+214.3%,<.01%
03783C100,APPF,APPFOLIO INC,541,541,85.38K,85.38K,NEW,<.01%
64119N608,NTSK,NETSKOPE INC,10033,10033,85.18K,85.18K,NEW,<.01%
M51474118,GILT,GILAT SATELLITE NETWORKS LTD,6192,5568,93K,83.63K,+892.3%,<.01%
887389104,TKR,TIMKEN CO,2362,816,237.55K,82.07K,+52.8%,<.01%
302491303,FMC,FMC CORP,56748,4658,977.2K,80.21K,+8.9%,0.02%
88076W103,TDC,TERADATA CORP DEL,3096,3096,79.35K,79.35K,NEW,<.01%
18539C204,CWEN,CLEARWAY ENERGY INC,1946,1946,76.46K,76.46K,NEW,<.01%
70438V106,PCTY,PAYLOCITY HLDG CORP,703,703,75.95K,75.95K,NEW,<.01%
942622200,WSO,WATSCO INC,214,204,77.85K,74.21K,+2040%,<.01%
34986A104,FWRD,FORWARD AIR CORP,26170,4410,437.3K,73.69K,+20.3%,<.01%
911163103,UNFI,UNITED NAT FOODS INC,1630,1630,73.45K,73.45K,NEW,<.01%
438128308,HMC,HONDA MOTOR CO LTD,2996,2996,72.83K,72.83K,NEW,<.01%
49271V100,KDP,KEURIG DR PEPPER INC,2741,2741,72.17K,72.17K,NEW,<.01%
28176E108,EW,EDWARDS LIFESCIENCES CORP,5124,900,410.33K,72.07K,+21.3%,<.01%
577081102,MAT,MATTEL INC,4947,4947,71.88K,71.88K,NEW,<.01%
989701107,ZION,ZIONS BANCORPORATION NATL AS,1231,1231,70.93K,70.93K,NEW,<.01%
25460G831,JNUG,DIREXION SHARES ETF TRUST,350,350,69.7K,69.7K,NEW,<.01%
71377A103,PFGC,PERFORMANCE FOOD GROUP CO,803,803,68.78K,68.78K,NEW,<.01%
89679E300,TFIN,TRIUMPH FINANCIAL INC,3926,1123,234.22K,67K,+40.1%,<.01%
05990K106,BANC,BANC OF CALIFORNIA INC,3769,3769,66.26K,66.26K,NEW,<.01%
591520200,MEI,METHODE ELECTRS INC,11872,11872,65.53K,65.53K,NEW,<.01%
198516106,COLM,COLUMBIA SPORTSWEAR CO,1142,1142,62.59K,62.59K,NEW,<.01%
Y1968P121,DAC,DANAOS CORPORATION,550,550,61.95K,61.95K,NEW,<.01%
34354P105,FLS,FLOWSERVE CORP,833,833,61.23K,61.23K,NEW,<.01%
960413102,WLK,WESTLAKE CORPORATION,514,514,60.05K,60.05K,NEW,<.01%
128030202,CALM,CAL MAINE FOODS INC,8175,747,647.05K,59.13K,+10.1%,0.01%
74340W103,PLD,PROLOGIS INC.,16356,431,2.16M,56.97K,+2.7%,0.04%
M4R82T106,FVRR,FIVERR INTL LTD,5583,5583,55.94K,55.94K,NEW,<.01%
228368106,CCK,CROWN HLDGS INC,6120,543,613.53K,54.44K,+9.7%,0.01%
34964C106,FBIN,FORTUNE BRANDS INNOVATIONS I,6559,1385,255.6K,53.97K,+26.8%,<.01%
036752103,ELV,ELEVANCE HEALTH INC FORMERLY,2457,182,719.29K,53.28K,+8%,0.01%
012653101,ALB,ALBEMARLE CORP,55862,294,10.03M,52.78K,+0.5%,0.21%
09228F103,BB,BLACKBERRY LTD,16178,16178,52.42K,52.42K,NEW,<.01%
53566V106,LINE,LINEAGE INC,1582,1582,51.83K,51.83K,NEW,<.01%
05580M108,RILY,BRC GROUP HOLDINGS INC,17455,6961,127.77K,50.95K,+66.3%,<.01%
466367109,JACK,JACK IN THE BOX INC,24416,5166,236.1K,49.96K,+26.8%,<.01%
668771108,GEN,GEN DIGITAL INC,2651,2651,49.92K,49.92K,NEW,<.01%
135086106,GOOS,CANADA GOOSE HLDGS INC,10590,4547,116.17K,49.88K,+75.2%,<.01%
93627C101,HCC,WARRIOR MET COAL INC,3675,526,342.33K,49K,+16.7%,<.01%
42806J700,HTZ,HERTZ GLOBAL HLDGS INC,10561,10561,48.69K,48.69K,NEW,<.01%
04965N104,RNA,ATRIUM THERAPEUTICS INC,3628,3628,48.51K,48.51K,NEW,<.01%
589378108,MRCY,MERCURY SYS INC,635,635,46.3K,46.3K,NEW,<.01%
