CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
N3167Y103,RACE,FERRARI N V,66615,-4378,22.55M,-1.48M,-6.2%,0.02%
87256C101,TKO,TKO GROUP HOLDINGS INC,0,-7303,0,-1.53M,CLOSE,0%
025816109,AXP,AMERICAN EXPRESS CO,7717,-5103,2.33M,-1.54M,-39.8%,<.01%
46429B598,INDA,ISHARES TR,41822,-33228,1.96M,-1.56M,-44.3%,<.01%
12541W209,CHRW,C H ROBINSON WORLDWIDE IN,272861,-9570,45.31M,-1.59M,-3.4%,0.03%
404251100,HNI,HNI CORP,0,-37843,0,-1.59M,CLOSE,0%
78464A755,XME,SPDR SERIES TRUST,67898,-14810,7.33M,-1.6M,-17.9%,<.01%
615369105,MCO,MOODYS CORP,9478,-3857,4.13M,-1.68M,-28.9%,<.01%
22822V101,CCI,CROWN CASTLE INC,0,-19732,0,-1.75M,CLOSE,0%
69351T106,PPL,PPL CORP,2303982,-49727,88.01M,-1.9M,-2.1%,0.06%
443628102,HBM,HUDBAY MINERALS INC,155674,-93671,3.25M,-1.96M,-37.6%,<.01%
26884L109,EQT,EQT CORP,920707,-31067,58.59M,-1.98M,-3.3%,0.04%
921943858,VEA,VANGUARD TAX-MANAGED FDS,45124,-31151,2.89M,-2M,-40.8%,<.01%
830940102,SKWD,SKYWARD SPECIALTY INS GROUP,422253,-47185,18.44M,-2.06M,-10.1%,0.01%
464287614,IWF,ISHARES TR,87739,-5261,37.41M,-2.24M,-5.7%,0.03%
N90064101,QURE,UNIQURE NV,1233789,-137401,20.17M,-2.25M,-10%,0.01%
958669103,WES,WESTERN MIDSTREAM PARTNERS L,319415,-55503,13.15M,-2.29M,-14.8%,<.01%
032095101,APH,AMPHENOL CORP,10238520,-18859,1.29B,-2.38M,-0.2%,0.89%
125896100,CMS,CMS ENERGY CORP,1587659,-32482,123.17M,-2.52M,-2%,0.08%
