CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
87612E106,TGT,TARGET CORP,6007,3039,728.05K,368.33K,+102.4%,0.23%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,1911,1911,366.76K,366.76K,NEW,0.11%
46120E602,ISRG,INTUITIVE SURGICAL INC,789,789,363.72K,363.72K,NEW,0.11%
808524300,SCHG,SCHWAB STRATEGIC TR,93371,12286,2.72M,357.89K,+15.2%,0.85%
573874104,MRVL,MARVELL TECHNOLOGY INC,3485,3485,345.19K,345.19K,NEW,0.11%
78467Y107,MDY,STATE STR SPDR S&P MIDCAP 40,1613,554,994.86K,341.69K,+52.3%,0.31%
922908363,VOO,VANGUARD INDEX FDS,10185,560,6.09M,334.64K,+5.8%,1.9%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,4365,698,2.09M,334.48K,+19%,0.65%
02072Q523,ACEP,EA SERIES TRUST,18644,18644,324.86K,324.86K,NEW,0.1%
36266G107,GEHC,GE HEALTHCARE TECHNOLOGIES I,4547,4547,323.66K,323.66K,NEW,0.1%
110448107,BTI,BRITISH AMERN TOB PLC,35017,5532,2.05M,323.46K,+18.8%,0.64%
44980X109,IPGP,IPG PHOTONICS CORP,2798,2798,320.62K,320.62K,NEW,0.1%
92189F676,SMH,VANECK ETF TRUST,2723,819,1.04M,313.95K,+43%,0.33%
G6683N103,NU,NU HLDGS LTD,21510,21510,309.1K,309.1K,NEW,0.1%
74347X831,TQQQ,PROSHARES TR,37480,7259,1.56M,302.56K,+24%,0.49%
68389X105,ORCL,ORACLE CORP,9783,2031,1.44M,298.77K,+26.2%,0.45%
464289438,IWY,ISHARES TR,1156,1156,287.63K,287.63K,NEW,0.09%
392709101,GRBK,GREEN BRICK PARTNERS INC,4300,4300,277.13K,277.13K,NEW,0.09%
33737A108,GRID,FIRST TR EXCHANGE-TRADED FD,1643,1643,268.76K,268.76K,NEW,0.08%
56585A102,MPC,MARATHON PETE CORP,1100,1100,268.6K,268.6K,NEW,0.08%
92189H607,OIH,VANECK ETF TRUST,645,645,260.71K,260.71K,NEW,0.08%
007903107,AMD,ADVANCED MICRO DEVICES INC,4530,1263,921.54K,256.93K,+38.7%,0.29%
921910816,MGK,VANGUARD WORLD FD,698,698,256.33K,256.33K,NEW,0.08%
166764100,CVX,CHEVRON CORPORATION,11226,1234,2.32M,255.32K,+12.3%,0.73%
80004C200,SNDK,SANDISK CORP,401,401,254.77K,254.77K,NEW,0.08%
088606108,BHP,BHP BILLITON LIMITED,3484,3484,253.43K,253.43K,NEW,0.08%
33734X721,RCTR,FIRST TR EXCHANGE-TRADED FD,7210,7210,250.9K,250.9K,NEW,0.08%
301505475,NUKZ,EXCHANGE TRADED CONCEPTS TRU,3776,3776,248.36K,248.36K,NEW,0.08%
G54950103,LIN,LINDE PLC,500,500,247.88K,247.88K,NEW,0.08%
87807B107,TRP,TC ENERGY CORP,3943,3943,246.83K,246.83K,NEW,0.08%
548661107,LOW,LOWES COS INC,1030,1030,243.37K,243.37K,NEW,0.08%
718172109,PM,PHILIP MORRIS INTL INC,12453,1468,2.06M,242.73K,+13.4%,0.64%
46284V101,IRM,IRON MTN INC DEL,2306,2306,235.53K,235.53K,NEW,0.07%
595112103,MU,MICRON TECHNOLOGY INC,3446,662,1.16M,223.65K,+23.8%,0.36%
244199105,DE,DEERE & CO,396,396,223.04K,223.04K,NEW,0.07%
46434G103,IEMG,ISHARES INC,3185,3185,222.13K,222.13K,NEW,0.07%
855244109,SBUX,STARBUCKS CORP,7980,2396,714.94K,214.66K,+42.9%,0.22%
031162100,AMGN,AMGEN INC,1346,593,473.56K,208.63K,+78.8%,0.15%
697435105,PANW,PALO ALTO NETWORKS INC,1295,1295,207.61K,207.61K,NEW,0.06%
92532F100,VRTX,VERTEX PHARMACEUTICALS INC,463,463,206.75K,206.75K,NEW,0.06%
02072Q531,AFOS,EA SERIES TRUST,13201,5718,477.01K,206.61K,+76.4%,0.15%
37954Y673,PAVE,GLOBAL X FDS,4031,4031,204.81K,204.81K,NEW,0.06%
718546104,PSX,PHILLIPS 66,1118,1118,203.68K,203.68K,NEW,0.06%
71654V408,PBR,PETROLEO BRASILEIRO S A,9775,9775,202.83K,202.83K,NEW,0.06%
962879102,WPM,WHEATON PRECIOUS METALS CORP,12136,1464,1.59M,191.8K,+13.7%,0.5%
453038408,IMO,IMPERIAL OIL LTD,10985,1406,1.44M,183.93K,+14.7%,0.45%
53635D202,LQDA,LIQUIDIA CORPORATION,4700,4700,177.38K,177.38K,NEW,0.06%
92204A702,VGT,VANGUARD WORLD FD,253,253,176.28K,176.28K,NEW,0.06%
12541W209,CHRW,C H ROBINSON WORLDWIDE IN,8186,1033,1.36M,171.54K,+14.4%,0.43%
191216100,KO,COCA COLA CO,8798,2242,669.08K,170.5K,+34.2%,0.21%
02079K305,GOOGL,ALPHABET INC,10585,558,3.04M,160.46K,+5.6%,0.95%
92826C839,V,VISA INC,9101,527,2.75M,159.28K,+6.1%,0.86%
81369Y704,XLI,SELECT SECTOR SPDR TR,5480,964,886.21K,155.9K,+21.3%,0.28%
30231G102,XOM,EXXON MOBIL CORP,15978,872,2.71M,147.95K,+5.8%,0.85%
064058100,BK,BANK NEW YORK MELLON CORP,11182,1228,1.33M,145.68K,+12.3%,0.42%
46625H100,JPM,JPMORGAN CHASE & CO,6905,463,2.03M,136.2K,+7.2%,0.64%
36828A101,GEV,GE VERNOVA INC,1115,156,973.44K,136.19K,+16.3%,0.3%
40412C101,HCA,HCA HEALTHCARE INC,3020,282,1.43M,133.45K,+10.3%,0.45%
617446448,MS,MORGAN STANLEY,5673,785,933.56K,129.18K,+16.1%,0.29%
191098102,COKE,COCA COLA CONS INC,31708,662,6.08M,126.93K,+2.1%,1.9%
46222L108,IONQ,IONQ INC,77594,4325,2.24M,124.69K,+5.9%,0.7%
344419106,FMX,FOMENTO ECONOMICO MEXICANO S,6994,1115,776.81K,123.84K,+19%,0.24%
922908751,VB,VANGUARD INDEX FDS,2355,471,616.82K,123.36K,+25%,0.19%
907818108,UNP,UNION PAC CORP,3649,487,885.36K,118.16K,+15.4%,0.28%
20030N101,CMCSA,COMCAST CORP NEW,20641,3995,592.61K,114.7K,+24%,0.19%
06849F108,B,BARRICK MNG CORP,28548,2775,1.16M,113.19K,+10.8%,0.36%
88160R101,TSLA,TESLA INC,4930,296,1.83M,110.04K,+6.4%,0.57%
G5960L103,MDT,MEDTRONIC PLC,10105,1259,875.6K,109.09K,+14.2%,0.27%
369604301,GE,GE AEROSPACE,3209,360,910.55K,102.15K,+12.6%,0.28%
806857108,SLB,SLB LIMITED,15707,1947,807.2K,100.06K,+14.1%,0.25%
904767803,UL,UNILEVER PLC,9258,1725,527.43K,98.27K,+22.9%,0.17%
886364231,GRNY,TIDAL TRUST I,60896,4115,1.45M,98.23K,+7.2%,0.45%
882508104,TXN,TEXAS INSTRS INC,3418,502,663.56K,97.46K,+17.2%,0.21%
76655K103,RGTI,RIGETTI COMPUTING INC,217859,6888,3.06M,96.71K,+3.3%,0.96%
913903100,UHS,UNIVERSAL HLTH SVCS INC,3555,536,636.16K,95.92K,+17.8%,0.2%
092528603,BINC,BLACKROCK ETF TRUST II,7341,1819,381.23K,94.46K,+32.9%,0.12%
68902V107,OTIS,OTIS WORLDWIDE CORP,5420,1173,417.76K,90.41K,+27.6%,0.13%
478160104,JNJ,JOHNSON & JOHNSON,6667,355,1.63M,86.78K,+5.6%,0.51%
693506107,PPG,PPG INDS INC,3310,767,353.74K,81.97K,+30.2%,0.11%
302130109,EXPD,EXPEDITORS INTL WASH INC,4403,541,630.68K,77.49K,+14%,0.2%
902494103,TSN,TYSON FOODS INC,23747,1180,1.52M,75.6K,+5.2%,0.48%
